,Network Measure,Score,Interaction,Gender,Strain,Group,File
40,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,41,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group8T_Interaction_30min_cam_2_Tue_04_23_2019_mjpeg_tracks.mat
41,degree centrality,0.5333333333333333,Head-Tail,Male,CCvsCC,42,fixed_Male-CCvsCC_3vs3Males_P60_CCvsCC_Group9V_30min_interaction_cam_2_Fri_06_07_2019_mjpeg_tracks.mat
42,degree centrality,0.5333333333333333,Head-Tail,Male,FCvsCC,43,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group1_30Mins_InteractionDay1_cam_1_Wed_07_18_2018_mjpeg_tracks.mat
43,degree centrality,0.5333333333333333,Head-Tail,Male,FCvsCC,44,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group2_30min_interaction_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
44,degree centrality,0.5333333333333334,Head-Tail,Male,FCvsCC,45,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group3_Interaction_0_30_min_cam_2_Tue_09_25_2018_mjpeg_tracks.mat
45,degree centrality,0.5333333333333333,Head-Tail,Male,FCvsCC,46,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group4_0-30mins_interaction_cam_2_Wed_10_10_2018_mjpeg_tracks.mat
46,degree centrality,0.5333333333333334,Head-Tail,Male,FCvsCC,47,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group5_Interaction_30min_cam_2_Tue_01_08_2019_mjpeg_tracks.mat
47,degree centrality,0.5333333333333333,Head-Tail,Male,FCvsCC,48,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group6H_Training_Interaction_30_minutes_cam_2_Wed_02_13_2019_mjpeg_tracks.mat
48,degree centrality,0.5333333333333334,Head-Tail,Male,FCvsCC,49,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group7S_Interaction_30min_cam_2_Tue_04_30_2019_mjpeg_tracks.mat
49,degree centrality,0.5333333333333333,Head-Tail,Male,FCvsCC,50,fixed_Male-FCvsCC_3vs3Males_P60_FCvsCC_Group8A_interaction_30min__cam_2_Thu_06_20_2019_mjpeg_tracks.mat
